Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2019,1,Corrientes,35.1349868869881,34.57,1.65
2019,2,Corrientes,38.155585884188,35.13,8.6
2019,3,Corrientes,38.4853511358672,38.16,0.86
2019,4,Corrientes,38.7674409892621,38.49,0.73
2020,1,Corrientes,38.7290799422309,38.77,-0.1
2020,2,Corrientes,40.3047626797957,38.73,4.07
2020,3,Corrientes,41.7507494704644,40.3,3.59
2020,4,Corrientes,42.428283946949,41.75,1.62
2021,1,Corrientes,42.6641284388214,42.43,0.56
2021,2,Corrientes,43.5411637336848,42.66,2.06
2021,3,Corrientes,44.9008831266441,43.54,3.12
2021,4,Corrientes,45.5101610294635,44.9,1.36
2022,1,Corrientes,47.6446351415023,45.51,4.69
2022,2,Corrientes,48.35,47.64,1.48
2022,3,Corrientes,48.21,48.35,-0.29
2022,4,Corrientes,51.64,48.21,7.11
2023,1,Corrientes,52.05,51.64,0.79
2023,2,Corrientes,52.37,52.05,0.61
2023,3,Corrientes,52.78,52.37,0.78
2023,4,Corrientes,52.56,52.78,-0.42
2024,1,Corrientes,51.94,52.56,-1.18
2024,2,Corrientes,51.38,51.94,-1.08
2014,1,Córdoba,52.5178475440063,,0.0
2014,2,Córdoba,53.448126115626,52.52,1.77
2014,3,Córdoba,54.2336102829994,53.45,1.47
2014,4,Córdoba,54.696896793323,54.23,0.85
2015,1,Córdoba,54.6973465018821,54.7,0.0
2015,2,Córdoba,55.8691635078182,54.7,2.14
2015,3,Córdoba,57.0834037895185,55.87,2.17
2015,4,Córdoba,57.3648817660792,57.08,0.49
2016,1,Córdoba,55.2830927837402,57.36,-3.63
2016,2,Córdoba,57.5479805282864,55.28,4.1
2016,3,Córdoba,58.243816258032,57.55,1.21
2016,4,Córdoba,57.696719154379,58.24,-0.94
2017,1,Córdoba,57.6533295928744,57.7,-0.08
2017,2,Córdoba,58.9735289080036,57.65,2.29
2017,3,Córdoba,62.3070022529633,58.97,5.65
2017,4,Córdoba,63.3326256520777,62.31,1.65
2018,1,Córdoba,63.5171696520162,63.33,0.29
2018,2,Córdoba,63.2743661231958,63.52,-0.38
2018,3,Córdoba,64.2421002602934,63.27,1.53
2018,4,Córdoba,65.0892645911237,64.24,1.32
2019,1,Córdoba,65.5173840768055,65.09,0.66
2019,2,Córdoba,68.0713093878985,65.52,3.9
2019,3,Córdoba,68.5923490106902,68.07,0.77
2019,4,Córdoba,70.4829556624422,68.59,2.76
2020,1,Córdoba,70.6880744339108,70.48,0.29
2020,2,Córdoba,72.7135853124239,70.69,2.87
2020,3,Córdoba,75.2203572366921,72.71,3.45
2020,4,Córdoba,78.0796087633819,75.22,3.8
2021,1,Córdoba,78.5902806238002,78.08,0.65
2021,2,Córdoba,80.1151879593124,78.59,1.94
2021,3,Córdoba,81.2845665540848,80.12,1.46
2021,4,Córdoba,84.5094185304609,81.28,3.97
2022,1,Córdoba,85.7574535631355,84.51,1.48
2022,2,Córdoba,87.48,85.76,2.01
2022,3,Córdoba,88.31,87.48,0.95
2022,4,Córdoba,89.03,88.31,0.82
2023,1,Córdoba,88.84,89.03,-0.21
2023,2,Córdoba,90.13,88.84,1.45
2023,3,Córdoba,90.05,90.13,-0.09
2023,4,Córdoba,90.67,90.05,0.69
2024,1,Córdoba,90.7,90.67,0.03
2024,2,Córdoba,90.79,90.7,0.1
2014,1,Entre Ríos,34.3671218212502,,0.0
2014,2,Entre Ríos,34.6874323714598,34.37,0.93
2014,3,Entre Ríos,34.981647333713,34.69,0.85
2014,4,Entre Ríos,36.0254708519679,34.98,2.98
2015,1,Entre Ríos,42.0651933735121,36.03,16.77
2015,2,Entre Ríos,42.9319790164588,42.07,2.06
2015,3,Entre Ríos,43.6771816352633,42.93,1.74
2015,4,Entre Ríos,44.108548073001,43.68,0.99
